年度季別,全國,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市
095Q1,5.19,7.69,8,6.48,5.43,6.2,7.01,5.82,4.78,6.22,5.34,5.75,6.11,5.72,5.05,6.08,6.64,7.11,4.18,5.36,4.64
094Q4,4.97,7.68,7.1,6.43,5.27,6.26,6.45,5.57,5.3,6.36,5.46,5.86,6.2,5.68,5,6.24,6.77,7.24,4.4,5.42,4.35
094Q3,5.25,7.37,6.58,6.35,5.56,6.29,6.59,5.62,5.28,6.49,5.55,5.9,6.25,5.62,4.95,6.27,6.82,7.1,4.45,5.32,4.3
094Q2,5.25,7.25,6.54,6.27,5.36,6.29,6.34,5.66,5.21,6.33,5.25,5.87,6.04,5.54,4.87,6.14,6.55,7.1,4.39,5.45,4.57
094Q1,5.01,7.34,6.22,5.97,5.49,6.18,6.11,5.53,4.89,6.15,4.94,5.99,5.98,5.46,4.8,6.03,6.53,7.14,4.29,5.58,4.51
093Q4,4.84,7.27,6.22,5.97,5.36,6.2,6.39,5.44,4.67,6.03,4.67,5.71,5.99,5.43,4.79,5.94,6.58,6.86,4.24,5.61,4.54
093Q3,4.63,7.09,6.19,5.94,4.94,6.1,6.25,5.1,4.7,5.82,4.36,5.53,6.08,5.36,4.72,5.64,6.19,6.87,4.3,5.67,4.56
093Q2,4.7,6.83,6.17,5.84,4.77,5.99,6.1,4.81,4.75,5.62,4.68,5.53,5.87,5.45,4.66,5.33,5.7,6.76,4.24,5.74,4.56
093Q1,4.7,6.6,6.14,5.74,4.8,5.86,5.77,4.52,4.54,5.59,4.72,5.52,5.66,5.53,4.65,5.07,5.46,6.64,4.18,5.79,4.57
092Q4,4.59,6.62,6.4,5.71,4.86,5.83,5.54,4.57,4.45,5.7,4.58,5.59,5.64,5.36,4.72,5.13,5.24,6.48,4.13,5.94,4.63
092Q3,4.5,6.57,6.25,5.76,4.77,5.7,5.39,4.52,4.48,5.75,4.39,5.62,5.59,5.16,4.75,5.11,5.24,6.36,4.04,5.62,4.63
092Q2,4.43,6.51,6.39,5.71,4.88,5.41,5.16,4.26,4.28,5.79,4.62,5.65,5.52,5.39,4.56,5.18,5.42,6.41,3.95,5.41,4.56
092Q1,4.41,6.46,6.16,5.41,4.89,5.33,5.13,4,4.08,5.5,4.55,5.59,5.46,5.21,4.32,5.32,5.33,6.44,3.93,5.28,4.51
091Q4,4.26,5.98,5.89,5.18,4.85,5.15,5.06,4.01,4.24,5.39,4.72,5.71,5.28,5.24,4.01,5.22,5.19,6.51,4.1,5.03,4.32
091Q3,4.15,6.01,6.16,5.35,5.02,5.26,4.69,4.01,4.34,5.37,4.96,5.91,5.2,5.34,4.1,5.36,5.13,6.39,4.33,5.27,3.93
091Q2,4.43,6.24,5.96,5.91,4.84,5.53,4.78,4.27,4.46,5.63,4.78,6.13,5.14,5.65,4.11,5.37,5.06,6.31,4.31,5.35,4.27
091Q1,4.47,6.36,6.06,5.6,4.94,5.7,5.2,4.52,4.4,5.7,5.19,6.02,5.06,6.02,4.1,5.34,5.34,5.87,4.17,5.37,4.31
